pk,jsondata,id,name,description,markup_description,family_pk,subfamily,icon
512,,mahakiranti,Mahakiranti,,,145,Tibeto-Burman,c0000dd
513,,greatercentralphilippine,Greater Central Philippine,,,15,,cffffcc
514,,northernluzon,Northern Luzon,,,15,,cffffff
515,,centralluzon,Central Luzon,,,15,,d000000
516,,batanic,Batanic,,,15,,d0000dd
517,,bilic,Bilic,,,15,,d009900
518,,northborneo,North Borneo,,,15,,d66ff33
519,,malayosumbawan,Malayo-Sumbawan,,,15,,d990099
520,,enggano,Enggano,,,15,,d9999ff
521,,northwestsumatrabarrierislands,Northwest Sumatra-Barrier Islands,,,15,,d99ffff
522,,rukai,Rukai,,,15,,daa0000
523,,minahasan,Minahasan,,,15,,dcccccc
524,,sangiric,Sangiric,,,15,,ddd0000
525,,southsulawesi,South Sulawesi,,,15,,dff4400
526,,celebic,Celebic,,,15,,dff6600
527,,moraori,Moraori,,,213,,c000000
528,,aikana,Aikaná,,,214,,c000000
529,,iranxe,Iranxe,,,215,,c000000
532,,centralarawakan,Central Arawakan,,,11,,c009900
533,,easternarawakan,Eastern Arawakan,,,11,,c66ff33
534,,purus,Purus,,,11,,c990099
535,,boliviaparana,Bolivia-Parana,,,11,,c9999ff
536,,preandinearawakan,Pre-Andine Arawakan,,,11,,c99ffff
537,,gbayamanzangbaka,Gbaya-Manza-Ngbaka,,,123,,c000000
531,,westernarawakan,Yanesha',,,11,,c0000dd
594,,dizoid,Dizoid,,,1,Omotic,tdd0000
595,,eastformosan,East Formosan,,,15,,fdd0000
596,,westernplainsaustronesian,Western Plains Austronesian,,,15,,f0000dd
291,,southernatlantic,Mel,,,123,Atlantic,f0000dd
694,,nuristani,Nuristani,,,70,,c009900
695,,kadiweu,Kadiwéu,,,61,,t009900
696,,southguaicuruan,South Guaicuruan,,,61,,tff6600
697,,highlandeastcushitic,Highland East Cushitic,,,1,Cushitic,c009900
698,,lowlandeastcushitic,Lowland East Cushitic,,,1,Cushitic,cff6600
699,,dahalo,Dahalo,,,1,Cushitic,ccccccc
751,,rajiraute,Raji-Raute,,,145,Tibeto-Burman,tffff00
212,,northernkhoisan,Ju-Kung,,,375,,faa0000
210,,centralkhoisan,Khoe-Kwadi,,,376,,f9999ff
213,,hoan,=|Hoan,,,375,,fcccccc
317,,kunama,Kunama,,,378,,sff4400
211,,southernkhoisan,Tu,,,374,,f99ffff
308,,songhay,Songhay,,,379,,s0000dd
321,,gumuz,Gumuz,,,380,,sffff00
300,,koman,Koman,,,381,,fff4400
310,,shabo,Shabo,,,382,,s66ff33
313,,maban,Maban,,,384,,s99ffff
306,,fur,Fur,,,385,,fffffff
312,,easternsaharan,Eastern Saharan,,,386,Saharan,s9999ff
309,,westernsaharan,Western Saharan,,,386,Saharan,s009900
299,,lendu,Lendu,,,387,,fdd0000
301,,kresh,Kresh,,,387,,fff6600
303,,mangbutuefe,Mangbutu-Efe,,,387,,fffcc00
304,,morumadi,Moru-Ma'di,,,387,,fffff00
305,,bongobagirmi,Bongo-Bagirmi,,,387,,fffffcc
315,,mangbetu,Mangbetu,,,387,,scccccc
297,,temein,Temein,,,388,,faa0000
298,,easternjebel,Eastern Jebel,,,388,,fcccccc
302,,nyimang,Nyimang,,,388,,fff66ff
307,,nubian,Nubian,,,388,,s000000
311,,taman,Taman,,,388,,s990099
314,,nara,Nara,,,388,,saa0000
318,,daju,Daju,,,388,,sff6600
320,,nilotic,Nilotic,,,388,,sffcc00
322,,surmic,Surmic,,,388,,sffffcc
316,,kuliak,Kuliak,,,388,,sdd0000
273,,easternmande,Eastern Mande,,,389,,d000000
292,,westernmande,Western Mande,,,389,,f009900
282,,rashad,Rashad,,,390,,ddd0000
284,,katlatima,Katla-Tima,,,390,,dff6600
285,,heiban,Heiban,,,390,,dff66ff
280,,tegem,Lafofa,,,390,,daa0000
281,,talodiproper,Talodi,,,390,,dcccccc
296,,dogon,Dogon,,,391,,f99ffff
288,,ijoid,Ijoid,,,392,,dffffcc
780,,matlatzincan,Matlatzincan,,,131,,t9999ff
781,,inlandnorthernarawakan,Inland Northern Arawakan,,,11,,cdd0000
782,,caribbeanarawakan,Caribbean Arawakan,,,11,,cffcc00
783,,wapishanan,Wapishanan,,,11,,cffff00
784,,bahuanic,Bahuanic,,,11,,cff6600
785,,altoorinoco,Alto-Orinoco,,,11,,cffffcc
788,,warndarang,Warndarang,,,414,,scccccc
789,,mara,Mara,,,414,,saa0000
790,,alawa,Alawa,,,414,,sffffcc
61,,wagiman,Wagiman,,,416,Gunwinyguan,sdd0000
51,,northerndaly,Northern Daly,,,417,Daly,fffffff
47,,garrwan,Garrwan,,,418,,fff66ff
791,,southeasternpamanyungan,Southeastern Pama-Nyungan,,,419,,tffffcc
792,,centralpamanyungan,Central Pama-Nyungan,,,419,,tcccccc
793,,westernpamanyungan,Western Pama-Nyungan,,,419,,t99ffff
794,,northernpamanyungan,Northern Pama-Nyungan,,,419,,taa0000
43,,ansonbay,Anson Bay,,,420,Daly,fcccccc
39,,jaminjungan,Jaminjungan,,,421,,f990099
795,,wambayan,Wambayan,,,421,,faa0000
796,,djingili,Djingili,,,421,,fffffcc
57,,waray,Warayic,,,422,Gunwinyguan,s9999ff
48,,nunggubuyu,Nunggubuyu,,,422,Gunwinyguan,fffcc00
34,,ngalakan,Ngalakan,,,422,Gunwinyguan,dffffff
41,,anindilyakwa,Anindilyakwa,,,422,Gunwinyguan,f99ffff
44,,gunwinygic,Gunwinygic,,,422,Gunwinyguan,fdd0000
40,,rembarnga,Rembarnga,,,422,Gunwinyguan,f9999ff
32,,ngandi,Ngandi,,,422,Gunwinyguan,dffff00
37,,murrinhpatha,Murrinh-Patha,,,423,Daly,f009900
797,,ngankikurungkurr,Ngankikurungkurr,,,423,,fffffcc
53,,tiwian,Tiwian,,,424,,s0000dd
798,,wagaydy,Wagaydy,,,425,,fffffcc
799,,bringen,Bringen,,,425,,faa0000
29,,wororan,Worrorran,,,426,,dff6600
31,,burarran,Burarran,,,427,,dffcc00
35,,ndjebbana,Ndjébbana,,,427,,f000000
36,,nakkara,Nakkara,,,427,,f0000dd
52,,tangkic,Tangkic,,,428,,s000000
30,,bunuban,Bunuban,,,429,,dff66ff
56,,djeragan,Jarrakan,,,430,,s990099
54,,easterndaly,Eastern Daly,,,431,Daly,s009900
33,,yangmanic,Yangmanic,,,432,Gunwinyguan,dffffcc
