ID,NameOLD,NameNEW,MacroareaOLD,MacroareaNEW,LatitudeOLD,LatitudeNEW,LongitudeOLD,LongitudeNEW,GlottocodeOLD,GlottocodeNEW,ISO639P3code,FamilyOLD,FamilyNEW,SubfamilyOLD,SubfamilyNEW,GenusOLD,GenusNEW,GenusIcon,ISO_codesOLD,ISO_codesNEW,Samples_100,Samples_200,Country_IDOLD,Country_IDNEW,Source
bre,Breton,Breton,Eurasia,Eurasia,48,48,-3,-3,bret1244,bret1244,bre,Indo-European,Indo-European,,,Celtic,Celtic,cffffff,bre,bre,0,0,FR,FR,Bothorel-1982 Delaporte-1986 Malherbe-and-Rosenberg-1996 Press-1986 Schapansky-2000 Stephens-1993 Ternes-1970 Ternes-1992 Timm-1991 Wmffre-1998
brq,Bera,Bera,Africa,Africa,1.5,1.5,30.03,30.03,bera1259,bera1259,brf,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Bantoid,Bantu,d0000dd,brf,brf,0,0,,,Meinhof-1938-39
baq,Baure,Baure,South America,South America,-13.08333333,-13.08333333,-64.16666667,-64.16666667,baur1253,baur1253,brg,Arawakan,Arawakan,,,Bolivia-Parana,Bolivia-Parana,c9999ff,brg,brg,0,0,BO,BO,Baptista-and-Wallin-1967
brh,Brahui,Brahui,Eurasia,Eurasia,28.5,28.5,67,67,brah1256,brah1256,brh,Dravidian,Dravidian,,,Northern Dravidian,Dravidian,sffcc00,brh,brh,0,1,PK,PK,Andronov-1971 Andronov-1980 Andronov-2001 Bray-1909 Bray-1986 De-Armond-1975 Elfenbein-1997c Elfenbein-1998 Emeneau-1937 Emeneau-1962 Rai-1985 Steever-1998a
bku,Bakueri,Bakueri,Africa,Africa,4.25,4.25,9.25,9.25,mokp1239,mokp1239,bri,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Bantoid,Bantu,d0000dd,bri,bri,0,0,CM,CM,Kagaya-1992
bbu,Barambu,Barambu,Africa,Africa,3.5,3.5,27,27,bara1361,bara1361,brm,Niger-Congo,Niger-Congo,Adamawa-Ubangi,Adamawa-Ubangi,Ubangi,Ubangi,dffff00,brm,brm,0,0,CD,CD,Santandrea-1965b Tucker-and-Bryan-1966
brc,Boruca,Boruca,North America,North America,8.833333333,8.833333333,-83.25,-83.25,boru1252,boru1252,brn,Chibchan,Chibchan,,,Talamanca,Western Isthumus Chibchan,f66ff33,brn,brn,0,0,CR,CR,Arroyo-1972
bru,Bru (Eastern),Bru (Eastern),Eurasia,Eurasia,17.33333333,17.33333333,106,106,east2332,east2332,bru,Austro-Asiatic,Austro-Asiatic,Mon-Khmer,Mon-Khmer,Katuic,Katuic,t66ff33,bru,bru,0,0,LA,LA,Miller-and-Nuan-1974
brw,Bru (Western),Bru (Western),Eurasia,Eurasia,16.75,16.75,104.75,104.75,west2397,west2397,brv,Austro-Asiatic,Austro-Asiatic,Mon-Khmer,Mon-Khmer,Katuic,Katuic,t66ff33,brv,brv,0,0,LA,LA,Thongkum-1979
bod,Bodo,Bodo,Eurasia,Eurasia,26.83333333,26.83333333,92,92,bodo1269,bodo1269,brx,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Bodo-Garo,Brahmaputran,fcccccc,brx,brx,0,0,IN,IN,Bhat-1968 Bhattacharya-1977 Subbarao-and-Murthy-2000 Subbarao-et-al-2000
bsr,Basari,Basari,Africa,Africa,12.66666667,12.66666667,-13,-13,bass1258,bass1258,bsc,Niger-Congo,Niger-Congo,Atlantic,North-Central Atlantic,Tenda,Tenda,f222222,bsc,bsc,0,0,SN GN,SN GN,Ferry-1968 Ferry-1981
ktz,Kati (in Afghanistan),Kati (in Afghanistan),Eurasia,Eurasia,35.5,35.5,70,70,kati1270,kati1270,bsh,Indo-European,Indo-European,,,Nuristani,Nuristani,c009900,bsh,bsh,0,0,PK AF,PK AF,Grjunberg-1980
bur,Burushaski,Burushaski,Eurasia,Eurasia,36.5,36.5,74.5,74.5,buru1296,buru1296,bsk,,,,,,,dff4400,bsk,bsk,1,1,PK,PK,Anderson-1997b Berger-1974 Berger-1998 Klimov-1970 Klimov-and-Edelman-1970 Lorimer-1935 Malherbe-and-Rosenberg-1996 Morgenstierne-1945 Morin-and-Tiffou-1988 Tiffou-and-Pesot-1989
brs,Barasano,Barasano,South America,South America,-0.166666667,-0.166666667,-70.66666667,-70.66666667,bara1380,bara1380,bsn,Tucanoan,Tucanoan,,,Tucanoan,Tucanoan,ddd0000,bsn,bsn,1,1,CO,CO,Barasana-1974 Garcia-and-Sanchez-1975 Huber-and-Reed-1992 Jones-and-Jones-1991 Smith-1973 Smith-and-Smith-1971
bgs,Baga Sitemu,Baga Sitemu,Africa,Africa,10.5,10.5,-14.5,-14.5,baga1272,baga1272,bsp,Niger-Congo,Niger-Congo,Atlantic,Mel,Mel,Northern Mel,f0000dd,bsp,bsp,0,0,GN,GN,Ganong-1998
bys,Bayso,Bayso,Africa,Africa,6.25,6.25,37.75,37.75,bais1246,bais1246,bsw,Afro-Asiatic,Afro-Asiatic,Cushitic,Cushitic,Lowland East Cushitic,Lowland East Cushitic,cff6600,bsw,bsw,0,0,ET,ET,Corbett-and-Hayward-1987
bit,Biatah,Biatah,Papunesia,Papunesia,1.25,1.25,110,110,biat1246,biat1246,bth,Austronesian,Austronesian,,,Land Dayak,Land Dayak,cdd0000,bth,bth,0,0,MY ID,MY ID,Omar-1983
bkr,Batak (Karo),Batak (Karo),Papunesia,Papunesia,3.25,3.25,98.25,98.25,bata1293,bata1293,btx,Austronesian,Austronesian,,,Northwest Sumatra-Barrier Islands,Northwest Sumatra-Barrier Islands,d99ffff,btx,btx,0,1,ID,ID,Joustra-1901 Neumann-1922 Woollams-1996
alx,Alas,Alas,Papunesia,Papunesia,3.666666667,3.666666667,97.83333333,97.83333333,bata1292,bata1292,btz,Austronesian,Austronesian,,,Northwest Sumatra-Barrier Islands,Northwest Sumatra-Barrier Islands,d99ffff,btz,btz,0,0,ID,ID,Akbar-et-al-1985
ncm,Ncàm,Ncàm,Africa,Africa,9.333333333,9.333333333,0.666666667,0.666666667,ntch1242,ntch1242,bud,Niger-Congo,Niger-Congo,Gur,Gur,Northern-Central Gur,Oti-Volta,f646464,bud,bud,0,0,TG GH,TG GH,Cox-1998
beo,Beothuk,Beothuk,North America,North America,48,48,-57,-57,beot1247,beot1247,bue,,,,,,,d9999ff,bue,bue,0,0,CA,CA,Hewson-1978
bsh,Bushoong,Bushoong,Africa,Africa,-4.5,-4.5,21.5,21.5,bush1247,bush1247,buf,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Bantoid,Bantu,d0000dd,buf,buf,0,0,CD,CD,Edmiston-1932
bug,Bugis,Bugis,Papunesia,Papunesia,-4,-4,120,120,bugi1244,bugi1244,bug,Austronesian,Austronesian,,,South Sulawesi,South Sulawesi,dff4400,bug,bug,0,0,ID,ID,Abas-and-Grimes-1995 Matthes-1875 Samsuri-1965 Sirk-1975 Sirk-1979 Sirk-1983
