id,name,dbpedia_url
nbf,Naxi,http://dbpedia.org/resource/Naxi_language
nbi,"Naga, Mao",
nbj,Ngarinman,
nbw,"Ngbandi, Southern",
nbx,Ngura,http://dbpedia.org/resource/Wangkumara_%28language%29
ncb,"Nicobarese, Central",
nce,Yale,http://dbpedia.org/resource/Yal%C3%AB_language
ncg,Nisga'a,http://dbpedia.org/resource/Nisga%27a_language
ncj,"Nahuatl, Northern Puebla",
nck,Nakara,
ncl,"Nahuatl, Michoacán",
ncu,Chumburung,
ncz,Natchez,
ndo,Ndonga,http://dbpedia.org/resource/Ndonga_language
ndi,Samba Leko,
ndt,Ndunga,
ndv,Ndut,
ndz,Ndogo,
nee,Nêlêmwa-Nixumwak,
neg,Negidal,http://dbpedia.org/resource/Negidal_language
nbl,Ndebele,http://dbpedia.org/resource/Southern_Ndebele_language
nen,Nengone,
nep,Nepali,http://dbpedia.org/resource/Nepali_language
new,Newar,http://dbpedia.org/resource/Nepal_Bhasa
nez,Nez Perce,http://dbpedia.org/resource/Nez_Perce_language
nfl,Äiwoo,http://dbpedia.org/resource/%C3%84iwoo_language
nfr,Nafaanra,http://dbpedia.org/resource/Nafaanra
nga,Ngbaka,
ngb,"Ngbandi, Northern",
ngc,Ngombe,
nge,Ngemba,
ngi,Ngizim,http://dbpedia.org/resource/Ngizim_language
ngk,Ngalkbun,http://dbpedia.org/resource/Dalabon_language
ngo,Ngoni,
pcc,Bouyei,
nhb,Beng,
nhg,"Nahuatl, Tetelcingo",http://dbpedia.org/resource/Tetelcingo_Nahuatl
nlx,Nahali,http://dbpedia.org/resource/Nahali_language
nhn,"Nahuatl, Central",
nhp,"Nahuatl, Isthmus-Pajapan",http://dbpedia.org/resource/Pajapan_Nahuatl
nhr,Naro,
nhu,Noone,
nhw,"Nahuatl, Western Huasteca",
nid,Ngandi,
nie,Niellim,http://dbpedia.org/resource/Niellim_language
nig,Ngalakan,http://dbpedia.org/resource/Ngalakan_language
nih,"Nyiha, Tanzania",
