pk,jsondata,id,name,description,markup_description,latitude,longitude,version
219,,soo,Sooke,,,48.3333333333,-123.75,1
220,,spc,Spanish (Canary Islands),,,28,-15.5833333333,1
221,,swv,Swedish (Västerbotten),,,64.25,19.75,1
217,,sry,Siraya,,,23,120.25,1
224,,tsp,Tamil (Spoken),,,11,78,1
225,,ttb,Tatar (Baraba),,,55.3333333333,78.3333333333,1
226,,tmi,Tatar (Mishar),,,55.5,49,1
227,,tlb,Tatar-Noghay (Alabugat),,,47.4166666667,45.6666666667,1
228,,tll,Taulil,,,-4.41666666667,152.083333333,1
229,,tay,Tayo,,,-22,166.333333333,1
231,,tpc,Tepecano,,,21.75,-104.75,1
232,,thw,Thao,,,23.8833333333,120.916666667,1
233,,tnd,Tindi,,,42.3666666667,46.25,1
234,,tod,Tod,,,32.4166666667,77.25,1
236,,tmk,Tumak,,,9.5,17.3333333333,1
237,,tex,Turkic (East-Central Xorasan),,,37,59,1
238,,twx,Turkic (West Xorasan),,,36.6666666667,56,1
239,,twa,Twana,,,47.6666666667,-122.75,1
240,,ulc,Ulcha,,,52.25,140.333333333,1
241,,umu,Umaua,,,1,-72,1
242,,urh,Urhobo,,,5.58333333333,6,1
243,,usl,Urubú Sign Language,,,-2.33333333333,-46,1
244,,urm,Urum,,,47.1166666667,37.55,1
245,,vat,Vata,,,5.83333333333,-5.41666666667,1
246,,vep,Veps,,,60,35,1
248,,wmn,Wéménugbé,,,6.66666666667,2.5,1
249,,xas,Xasonga,,,14.25,-10.5,1
251,,ygn,Yaghnobi,,,39,69,1
252,,yba,Yamba,,,6.41666666667,11.0833333333,1
253,,ynm,Yanomámi,,,2.33333333333,-63,1
254,,yem,Yemba,,,5.41666666667,10.0833333333,1
255,,ydb,Yiddish (Bessarabian),,,47,28.5,1
256,,ylt,Yiddish (Lithuanian),,,55,25,1
257,,ydl,Yiddish (Lodz),,,51.75,19.4166666667,1
258,,yug,Yugh,,,61,90,1
259,,yrc,Yuracare,,,-16.5833333333,-65.25,1
260,,yrm,Yurimangí,,,3.83333333333,-77,1
261,,yta,Yurt Tatar,,,46.3333333333,48.5,1
262,,zpi,Zapotec (Ixtlan),,,17.25,-96.5,1
263,,zhn,Zhuang (Northern),,,24,108,1
264,,zqr,Zoque (Rayon),,,17.0833333333,-93,1
209,,rsh,Shughni,,,38.1666666667,71.5,1
265,,zno,Zulu (Northern),,,-28,31,1
266,,zso,Zulu (Southern),,,-31,30,1
267,,abw,Abenaki (Western),,,44,-72.25,1
268,,ada,Adamorobe Sign Language,,,5.83333333333,-0.166666666667,1
269,,adt,Adyghe (Temirgoy),,,45.2166666667,39.7,1
270,,aji,Ajië,,,-21.3333333333,165.5,1
271,,axv,Akhvakh,,,42.3333333333,46.3333333333,1
272,,alg,Algonquin,,,46,-77,1
273,,amd,Amdo,,,35,100,1
274,,asl,American Sign Language,,,39,-78,1
276,,arx,'Are'are,,,-9.25,161.166666667,1
277,,ati,Atikamekw,,,48,-74,1
278,,aus,Auslan,,,-30,145,1
279,,bad,Bade,,,12.8333333333,10.5,1
281,,bca,Bandjalang (Casino),,,-28.9166666667,153,1
282,,bau,Bau,,,-5.25,145.616666667,1
283,,beb,Benabena,,,-6.16666666667,145.5,1
284,,bnq,Beng,,,7.83333333333,-4.25,1
285,,bec,Bengali (Chittagong),,,22.3333333333,91.8333333333,1
286,,beo,Beothuk,,,48,-57,1
287,,bmz,Berber (Mzab),,,32.5,3.5,1
288,,brz,Birri,,,5.5,25.1666666667,1
289,,bsm,Bislama,,,-16,168,1
290,,brc,Boruca,,,8.83333333333,-83.25,1
291,,bsl,British Sign Language,,,52,-1,1
292,,buj,Bujeba,,,3,10.1666666667,1
293,,cab,Cabécar,,,9.75,-83.4166666667,1
294,,cnm,Canamarí,,,-6.5,-68.5,1
295,,cnl,Canela,,,-7,-45,1
296,,crl,Carolinian,,,15.2,145.75,1
297,,cat,Catio,,,7.16666666667,-76.3333333333,1
302,,cma,Chimila,,,10,-74,1
303,,csf,Chinantec (San Felipe Usila),,,17.9166666667,-96.5,1
304,,cte,Chinantec (Tepetotutla),,,17.8333333333,-96.5,1
305,,csl,Chinese Sign Language,,,35,115,1
306,,clc,Colac,,,-38.3333333333,143.5,1
307,,cmc,Comecrudo,,,25.8333333333,-99,1
308,,com,Comorian,,,-12,44,1
309,,ctc,Cuicatec,,,17.8333333333,-96.8333333333,1
310,,cut,Cuitlatec,,,17.5,-101,1
312,,dat,Datooga,,,-4.33333333333,35.3333333333,1
313,,dgx,Degexit'an,,,62,-160,1
315,,dyu,Dyula,,,9.83333333333,-4.66666666667,1
316,,eny,Enya,,,-0.5,25.25,1
317,,ewa,Ewe (Anglo),,,6,1,1
318,,fsl,Finnish Sign Language,,,62,26,1
319,,fus,Fula (Senegal),,,15,-14,1
320,,gsl,Greek Sign Language,,,38.5,22,1
321,,gso,Greenlandic (South),,,60,-44,1
322,,gna,Guana,,,-22,-58,1
323,,gyb,Guayabero,,,2.83333333333,-72,1
324,,gir,Gula Iro,,,10.25,19.4166666667,1
325,,gji,Gurindji,,,-17.6666666667,130.666666667,1
326,,grm,Gurma,,,12.25,1,1
327,,hrs,Harsusi,,,20,56.5,1
328,,hks,Hong Kong Sign Language,,,22.5,114,1
329,,hmb,Huambisa,,,-4,-78,1
330,,ics,Icelandic Sign Language,,,65,-18,1
331,,ill,Illinois,,,40,-90,1
332,,ina,Inanwatan,,,-2.08333333333,132.083333333,1
333,,ipi,Indo-Pakistani Sign Language (Indian dialects),,,24,80,1
334,,inr,Inuktitut (Rankin Inlet),,,63,-92,1
335,,irs,Irish Sign Language,,,53.5,-7.5,1
336,,iss,Israeli Sign Language,,,32,34.8333333333,1
338,,ixc,Ixcatec,,,17.8333333333,-97.1666666667,1
339,,jah,Jahai,,,5.75,101.5,1
340,,jem,Jemez,,,35.8333333333,-107,1
341,,jun,Juang,,,21.3333333333,86,1
342,,kai,Kaian,,,-4.08333333333,144.75,1
343,,klz,Kalanga,,,-20.5,27.5,1
344,,klh,Kalasha,,,35,72,1
345,,kgt,Kangiryuarmiut,,,68.3333333333,-133.75,1
346,,kea,Kanjobal (Eastern),,,15.3333333333,-91.6666666667,1
348,,kyo,Kanyok,,,-7.33333333333,23.5833333333,1
349,,kpn,Kapingamarangi,,,1.05,154.75,1
350,,krg,Karanga,,,-20,31,1
351,,kdg,Karipuna (Panoan),,,-10,-65,1
352,,kkl,Kata Kolok,,,-8.25,115.166666667,1
354,,kto,Kato,,,39.6666666667,-123.666666667,1
355,,kaq,Kaurna,,,-34.25,138.5,1
357,,kyg,Kenyang,,,5.66666666667,9.5,1
358,,khu,Khumi,,,21.9166666667,92.4166666667,1
359,,klb,Kilba,,,10.3333333333,13.1666666667,1
360,,ktb,Kituba,,,-5,17.5,1
361,,kln,Kolana,,,-8.25,125.116666667,1
362,,krf,Korafe,,,-9.05,149.083333333,1
363,,ksi,Ksingmul,,,21.0833333333,104,1
365,,kth,Kutchin,,,67,-146,1
366,,lch,Lachi,,,22.6666666667,104.833333333,1
367,,ldn,Ladin,,,46.5833333333,11.9166666667,1
368,,lsf,Langue des Signes Française,,,47,3,1
369,,lsq,Langue des Signes Québecoise,,,48,-75,1
370,,lrd,Lardil,,,-16.5,139.333333333,1
371,,lau,Lau,,,-9.58333333333,161.5,1
311,,cur,Curripaco,,,2.5,-68.5,2
373,,lse,Lengua de Señas Española,,,40,-3,1
374,,les,Lese,,,2,29,1
375,,lcr,Lesser Antillean French Creole,,,15,-61.1666666667,1
376,,lsb,Língua de Sinais Brasileira,,,-15,-48,1
377,,lii,Lingua Italiana dei Segni,,,42,13,1
378,,lob,Lobi,,,10.5,-3.25,1
379,,lgt,Logoti,,,3.5,30,1
380,,lok,Loko,,,9.33333333333,-12.0833333333,1
381,,lgh,Lughat al-Isharat al-Lubnaniya,,,34,35.8333333333,1
382,,lye,Lyele,,,12.5,-2.66666666667,1
383,,mcg,Macaguán,,,6.5,-71.3333333333,1
384,,mcn,Macuna,,,-0.333333333333,-70.1666666667,1
385,,mhc,Mahican,,,42.6666666667,-73.5,1
