pk,jsondata,value_pk,sentence_pk,description,version
1066,,3612,977,,1
1067,,3197,978,,1
1068,,7087,979,,1
1069,,54257,980,,1
1070,,54257,981,,1
1071,,54257,982,,1
1072,,54257,983,,1
1073,,54427,980,,1
1074,,54427,981,,1
1075,,54427,982,,1
1076,,54427,983,,1
1077,,3120,984,,1
1078,,53941,985,,1
1079,,25665,986,,1
1080,,4606,987,,1
1081,,4606,988,,1
1082,,3702,989,,1
1083,,29367,990,,1
1084,,9025,991,,1
1085,,9025,992,,1
1086,,5976,993,,1
1087,,3570,994,,1
1088,,3472,995,,1
1089,,3651,996,,1
1090,,6594,997,,1
1091,,6795,997,,1
1092,,24901,998,,1
1093,,11990,999,,1
1094,,11990,1000,,1
1095,,3123,1001,,1
1096,,3775,1002,,1
1097,,24939,1003,,1
1098,,8110,1004,,1
1099,,4616,1005,,1
1100,,4616,1006,,1
1101,,5945,1007,,1
1102,,10163,1008,,1
1103,,4884,1010,,1
1104,,4884,1011,,1
1105,,4884,1012,,1
1106,,2796,1013,,1
1107,,3686,1014,,1
1108,,9246,1015,,1
1109,,2733,1016,,1
1110,,39788,1017,,1
1111,,25015,1018,,1
1112,,23291,1028,,1
1113,,3866,1029,,1
1114,,3195,1030,,1
1115,,24920,1031,,1
1116,,8699,1032,,1
1117,,8699,1033,,1
1118,,8699,1034,,1
1119,,54244,1035,,1
1120,,54244,1036,,1
1121,,54416,1035,,1
1122,,54416,1036,,1
1123,,3380,1037,,1
1124,,2707,1038,,1
1125,,3278,1039,,1
1126,,12312,1040,,1
1127,,12174,1041,,1
1128,,2741,1042,,1
1129,,1671,1043,,1
1130,,6529,1044,,1
1131,,6739,1044,,1
1132,,6492,1045,,1
1133,,6709,1045,,1
1134,,2691,1046,,1
1135,,3884,1047,,1
1136,,12316,1048,,1
1137,,46195,1049,,1
1138,,2823,1050,,1
1139,,12923,1051,,1
1140,,12923,1052,,1
1141,,12923,1053,,1
1142,,12923,1054,,1
1143,,52174,1055,,1
1144,,52174,1056,,1
1145,,24936,1057,,1
1146,,54138,1058,,1
1147,,54138,1059,,1
1148,,54138,1060,,1
1149,,54138,1061,,1
1150,,54138,1062,,1
1151,,54318,1058,,1
1152,,54318,1059,,1
1153,,54318,1060,,1
1154,,54318,1061,,1
1155,,54318,1062,,1
1156,,2651,1063,,1
1157,,37106,1064,,1
1158,,4749,1065,,1
1159,,4749,1066,,1
1160,,4749,1067,,1
1161,,2602,1068,,1
1162,,2599,1069,,1
1163,,2612,1070,,1
1164,,12897,1071,,1
1165,,12897,1072,,1
1166,,12897,1073,,1
1167,,12897,1074,,1
1168,,12897,1075,,1
1169,,12897,1076,,1
1170,,12897,1077,,1
1171,,12897,1078,,1
1172,,12897,1079,,1
1173,,12897,1080,,1
1174,,12897,1081,,1
1175,,12897,1082,,1
1176,,12897,1083,,1
1177,,12897,1084,,1
1178,,12897,1085,,1
1179,,12897,1086,,1
1180,,12897,1087,,1
1181,,12897,1088,,1
1182,,12897,1089,,1
1183,,12897,1090,,1
1184,,12897,1091,,1
1185,,12897,1092,,1
1186,,12897,1093,,1
1187,,12897,1094,,1
1188,,12897,1095,,1
1189,,12897,1096,,1
1190,,12897,1097,,1
1191,,12897,1098,,1
1192,,12897,1099,,1
1193,,12897,1100,,1
1194,,12897,1101,,1
1195,,12897,1102,,1
1196,,25155,1103,,1
1197,,2929,1104,,1
1198,,6086,1105,,1
1199,,41832,1106,,1
1200,,5899,1107,,1
1201,,12757,1019,,1
