id,name,gbs_id
Barker-and-Mengal-1969,Barker and Mengal 1969,
Barlow-1960,Barlow 1960,
Barnard-1934,Barnard 1934,
Barnard-1985,Barnard 1985,
Barnes-1984,Barnes 1984,
Barnes-1990,Barnes 1990,
Barnes-1994,Barnes 1994,
Barnes-and-Weyhe-1994,Barnes and Weyhe 1994,rp0hYcAjlIoC
Baroja-1989,Baroja 1989,
Barr-1965,Barr 1965,
Barr-1995,Barr 1995,
Barr-and-Barr-1988,Barr and Barr 1988,
Barrera-and-Dakin-1978,Barrera and Dakin 1978,
Barreteau-1988,Barreteau 1988,
Barreteau-and-Bleis-1990,Barreteau and Bleis 1990,
Barreteau-and-Brunet-2000,Barreteau and Brunet 2000,
Bartens-1989,Bartens 1989,
Bascom-1982,Bascom 1982,
Bashir-1988,Bashir 1988,
Bashir-1989,Bashir 1989,
Bashir-2000,Bashir 2000,
Baskakov-1958,Baskakov 1958,
Baskakov-1966a,Baskakov 1966a,
Baskakov-1966b,Baskakov 1966b,
Baskakov-1973,Baskakov 1973,
Baskakov-1975,Baskakov 1975,
Baskakov-1997a,Baskakov 1997a,
Baskakov-1997b,Baskakov 1997b,
Baskakov-1997c,Baskakov 1997c,
Baskakov-and-Abdulzalilov-1956,Baskakov and Abdulzalilov 1956,
Baskakov-and-Hamzaev-1956,Baskakov and Hamzaev 1956,
Baskakov-and-Inkizekova-Grekyl-1953,Baskakov and Inkizekova-Grekyl 1953,
Basri-1999,Basri 1999,
Basset-1890,Basset 1890,
Basset-1952,Basset 1952,
Basu-1955,Basu 1955,
Bateman-1982,Bateman 1982,
Bateman-1986,Bateman 1986,
Bates-1904,Bates 1904,
Bates-1997,Bates 1997,
Bates-et-al-1994,Bates et al. 1994,ekq921r1kV0C
Batibo-1985,Batibo 1985,
Baudet-1947,Baudet 1947,
Bauer-1981,Bauer 1981,
Bauer-1982a,Bauer 1982a,
Bauer-1982b,Bauer 1982b,
Bauer-1991,Bauer 1991,
Bauer-1993,Bauer 1993,
Bauer-and-Leander-1969,Bauer and Leander 1969,
Bauernschmidt-1965,Bauernschmidt 1965,
Baumbach-1987,Baumbach 1987,
Baumbach-1997,Baumbach 1997,
Baumgartner-1998,Baumgartner 1998,
Baxter-1988,Baxter 1988,
Beam-and-Cridland-1970,Beam and Cridland 1970,
Bearth-1971,Bearth 1971,
Bearth-and-Zemp-1967,Bearth and Zemp 1967,
Beasley-and-Pike-1957,Beasley and Pike 1957,
