pk,jsondata,key,description,valueset_pk,source_pk,version
41261,,,passim,35506,99,1
41262,,,passim,35506,2715,1
41263,,,"23, passim",35510,2715,1
41264,,,"23, passim",35511,2715,1
41265,,,"23, passim",35512,2715,1
41266,,,"33, 50",35513,2715,1
41267,,,85-86,35514,2715,1
41268,,,163,35514,99,1
41269,,,33-36,35515,2715,1
41270,,,196,35515,99,1
41271,,,"38-39, passim",35516,2715,1
41272,,,156,35516,99,1
41273,,,32,35517,2715,1
41274,,,161,35517,99,1
41275,,,97,35518,2715,1
41276,,,164,35518,99,1
41277,,,passim,35519,2715,1
41278,,,59-60,35520,2715,1
41279,,,24,35521,2715,1
41280,,,24,35522,2715,1
41281,,,23,35523,2715,1
41282,,,30,35524,2715,1
41283,,,"155, 160",35524,99,1
41284,,,46,35525,2715,1
41285,,,passim,35526,99,1
41286,,,passim,35526,2715,1
41287,,,passim,35530,3262,1
41288,,,passim,35531,3262,1
41289,,,29-30,35532,3262,1
41290,,,31-32,35533,3262,1
41291,,,25,35534,3262,1
41292,,,27,35535,3262,1
41293,,,,35536,2126,1
41294,,,46,35536,848,1
41295,,,181-183,35536,2828,1
41296,,,,35537,2126,1
41297,,,46,35537,848,1
41298,,,181-183,35537,2828,1
41299,,,,35538,2126,1
41300,,,46,35538,848,1
41301,,,181-183,35538,2828,1
41302,,,29-30,35539,2126,1
41303,,,56,35539,848,1
41304,,,159,35539,2828,1
41305,,,57,35540,848,1
41306,,,282,35540,2828,1
41307,,,58,35541,848,1
41308,,,"166-176, 288",35541,2828,1
41309,,,57,35542,848,1
41310,,,"146, 282",35542,2828,1
41311,,,passim,35542,2126,1
41312,,,45,35543,848,1
41313,,,57,35544,848,1
41314,,,288,35544,2828,1
41315,,,45,35545,848,1
41316,,,"261-262, 282",35545,2828,1
41317,,,41,35546,848,1
41318,,,47,35547,848,1
41319,,,245,35548,2828,1
41320,,,passim,35549,848,1
41321,,,passim 262,35550,2828,1
41322,,,passim 262,35551,2828,1
41323,,,148,35552,2828,1
41324,,,"256, 313-314",35553,2828,1
41325,,,passim,35553,2127,1
41326,,,passim,35554,848,1
41327,,,40,35555,848,1
41328,,,"128, 136",35555,2828,1
41329,,,29,35556,2126,1
41330,,,157-158,35556,2828,1
41331,,,passim,35557,2126,1
41332,,,passim,35557,2127,1
41333,,,passim,35557,2828,1
41334,,,passim,35557,848,1
41335,,,98,35561,3211,1
41336,,,98,35562,3211,1
41337,,,98,35563,3211,1
41338,,,passim,35564,4830,1
41339,,,passim,35565,3211,1
41340,,,passim,35566,4830,1
41341,,,"99, 101",35567,3211,1
41342,,,passim 98,35568,4830,1
41343,,,98,35569,3211,1
41344,,,passim,35569,4830,1
41345,,,passim,35570,3211,1
41346,,,"20, 74-75, 83",35574,172,1
41347,,,164,35575,172,1
41348,,,20,35576,2150,1
41349,,,"20, 74-75, 83",35576,172,1
41350,,,20-21,35577,172,1
41351,,,59-60,35577,2150,1
41352,,,27,35578,172,1
41353,,,"64-65, 114",35579,2150,1
41354,,,113-123,35579,172,1
41355,,,54,35580,172,1
41356,,,17,35581,172,1
41357,,,17,35582,172,1
41358,,,18,35583,2150,1
41359,,,38,35583,172,1
41360,,,"54-56, 131-132",35584,2150,1
41361,,,"56-60, 149",35584,172,1
41362,,,passim,35585,172,1
41363,,,163,35586,172,1
41364,,,passim,35587,172,1
41365,,,36-37,35588,172,1
41366,,,49,35589,2150,1
41367,,,"60, 68, 80, 129",35589,172,1
41368,,,49,35590,2150,1
41369,,,"60, 68, 80, 129",35590,172,1
41370,,,61-62,35591,172,1
41371,,,"96-98, 135",35592,2150,1
41372,,,104-110,35592,172,1
41373,,,"20, 74-75, 78, 83, 85",35593,172,1
41374,,,17-20,35594,172,1
41375,,,81,35594,2150,1
41376,,,passim,35595,2150,1
41377,,,passim,35595,172,1
41378,,,,35599,2179,1
41379,,,46-47,35599,848,1
41380,,,186-187,35599,2828,1
41381,,,,35600,2179,1
41382,,,46-47,35600,848,1
41383,,,186-187,35600,2828,1
41384,,,,35601,2179,1
41385,,,46-47,35601,848,1
41386,,,186-187,35601,2828,1
41387,,,56,35602,848,1
41388,,,159-165,35602,2828,1
41389,,,passim,35602,2179,1
41390,,,,35603,2179,1
41391,,,282,35603,2828,1
41392,,,,35604,2179,1
41393,,,"166ff,, 288",35604,2828,1
41394,,,,35605,2179,1
41395,,,147,35605,2828,1
41396,,,,35606,848,1
41397,,,,35606,2179,1
41398,,,passim,35607,848,1
41399,,,288,35608,2828,1
41400,,,"264, 268-269",35609,2828,1
41401,,,passim,35610,848,1
41402,,,42,35611,848,1
41403,,,137,35611,2828,1
41404,,,,35612,848,1
41405,,,,35612,2179,1
41406,,,passim,35613,848,1
41407,,,,35614,848,1
41408,,,,35615,2179,1
41409,,,passim 262,35615,2828,1
41410,,,,35616,2179,1
41411,,,passim 262,35616,2828,1
41412,,,,35617,2179,1
41413,,,148,35617,2828,1
41414,,,,35619,2179,1
41415,,,46-47,35619,848,1
41416,,,186-187,35619,2828,1
41417,,,,35620,2179,1
41418,,,40,35620,848,1
41419,,,129,35620,2828,1
41420,,,passim,35621,2179,1
41421,,,passim,35621,2828,1
41422,,,passim,35621,848,1
41423,,,"46-50, 55",35625,848,1
41424,,,320-326,35625,2848,1
41425,,,"46-50, 55",35626,848,1
41426,,,320-326,35626,2848,1
41427,,,"46-50, 55",35627,848,1
41428,,,320-326,35627,2848,1
41429,,,56,35628,848,1
41430,,,57,35629,848,1
41431,,,"224, 304, 302",35629,2848,1
41432,,,"225, 305",35630,2848,1
41433,,,57,35631,848,1
41434,,,passim,35632,848,1
41435,,,54,35633,848,1
41436,,,310,35634,2848,1
41437,,,222,35635,2848,1
41438,,,228,35636,2848,1
41439,,,passim,35637,848,1
41440,,,passim,35637,2848,1
41441,,,"46, 49",35639,848,1
41442,,,"46, 49",35640,848,1
41443,,,"46, 49",35641,848,1
41444,,,56,35642,848,1
41445,,,57-58,35643,848,1
41446,,,45,35644,848,1
41447,,,57-58,35645,848,1
41448,,,passim,35646,848,1
41449,,,33,35647,848,1
41450,,,51,35648,848,1
41451,,,passim,35649,848,1
41452,,,313-314,35650,848,1
41453,,,40,35651,848,1
41454,,,43,35652,848,1
41455,,,passim,35653,2506,1
41456,,,passim,35653,848,1
41457,,,"46, 55",35655,848,1
41458,,,402,35655,2828,1
41459,,,"46, 55",35656,848,1
41460,,,402,35656,2828,1
41461,,,"46, 55",35657,848,1
41462,,,402,35657,2828,1
41463,,,56,35658,848,1
41464,,,397-399,35658,2828,1
41465,,,57,35659,848,1
41466,,,395,35659,2828,1
41467,,,58,35660,848,1
41468,,,400,35660,2828,1
41469,,,57,35661,848,1
41470,,,397,35661,2828,1
41471,,,57-58,35662,848,1
41472,,,395,35662,2828,1
41473,,,396,35663,2828,1
41474,,,passim,35664,848,1
41475,,,51,35665,848,1
41476,,,passim,35666,848,1
41477,,,406,35667,2828,1
41478,,,406,35668,2828,1
41479,,,392-393,35669,2828,1
41480,,,412,35670,2828,1
41481,,,"46, 55",35671,848,1
41482,,,402,35671,2828,1
41483,,,390,35672,2828,1
41484,,,398,35673,848,1
41485,,,passim,35674,2828,1
41486,,,passim,35674,848,1
41487,,,passim,35678,479,1
41488,,,"232, 269, 274",35679,479,1
41489,,,"232, 269, 274",35680,479,1
41490,,,"138, 152",35681,479,1
41491,,,340,35682,479,1
41492,,,302,35683,479,1
41493,,,374,35684,479,1
41494,,,373-374,35685,479,1
41495,,,passim,35686,479,1
41496,,,340,35687,479,1
41497,,,passim,35688,479,1
41498,,,"190ff., 233",35689,479,1
41499,,,"249, 259",35690,479,1
41500,,,passim,35691,479,1
41501,,,379,35692,479,1
41502,,,379,35693,479,1
41503,,,383,35694,479,1
41504,,,396-399,35695,479,1
41505,,,passim,35696,479,1
41506,,,132-137,35697,479,1
41507,,,"138, 190",35698,479,1
41508,,,passim,35699,479,1
41509,,,351,35703,848,1
41510,,,526,35703,843,1
41511,,,351,35704,848,1
41512,,,526,35704,843,1
41513,,,351,35705,848,1
41514,,,526,35705,843,1
41515,,,351,35706,848,1
41516,,,524,35707,843,1
41517,,,351,35708,848,1
41518,,,527,35709,843,1
41519,,,350,35710,848,1
41520,,,525,35710,843,1
41521,,,351,35711,848,1
