Language_ID,Name,Provider
git,Gitxsan,ethnologue
giz,"Giziga, North",ethnologue
giz,"Giziga, South",ethnologue
ddj gdi,Godié,ethnologue
goe,Goemai,ethnologue
gog,Gogodala,ethnologue
gok,Gokana,ethnologue
gol,Gola,ethnologue
gln,Golin,ethnologue
gon,"Gondi, Northern",ethnologue
gon,"Gondi, Southern",ethnologue
goo,Gooniyandi,ethnologue
grt,Gorontalo,ethnologue
gor,Gorowa,ethnologue
grm gut,Gourmanchéma,ethnologue
gcy grk,Greek,ethnologue
gsl,Greek Sign Language,ethnologue
gdl lcr mqc,Guadeloupean Creole French,ethnologue
ghb skn,Guahibo,ethnologue
gjj,Guajajára,ethnologue
gmb,Guambiano,ethnologue
gna,Guana,ethnologue
gno,Guanano,ethnologue
crg,"Guaraní, Eastern Bolivian",ethnologue
gua,"Guaraní, Paraguayan",ethnologue
wrk,Guarequena,ethnologue
gto,Guató,ethnologue
gyb,Guayabero,ethnologue
gud,Gude,ethnologue
gdf,Guduf-Gava,ethnologue
ggd,Gugadj,ethnologue
guu,Guguyimidjir,ethnologue
guh,Guhu-Samane,ethnologue
gfr,Guianese Creole French,ethnologue
guj,Gujarati,ethnologue
goj,Gujari,ethnologue
gul,Gula,ethnologue
gir,Gula Iro,ethnologue
gmt,Gumatj,ethnologue
gmw,Gumawana,ethnologue
gmz,Gumuz,ethnologue
guw,Gun,ethnologue
bbw,Gunwinggu,ethnologue
gny,Gunya,ethnologue
guf,Gupapuyngu,ethnologue
grg,Guragone,ethnologue
hwr,Gurani,ethnologue
ggu,Gureng Gureng,ethnologue
gji,Gurinji,ethnologue
gro,Guro,ethnologue
gur,"Gurung, Eastern",ethnologue
gur,"Gurung, Western",ethnologue
kth,Gwich'in,ethnologue
had,Hadza,ethnologue
hai hno,"Haida, Northern",ethnologue
hai,"Haida, Southern",ethnologue
hsl,Haisla,ethnologue
hcr,Haitian,ethnologue
hln,Halang,ethnologue
hlb,Halbi,ethnologue
hal,Halia,ethnologue
hli hlu msq,Halkomelem,ethnologue
hmr,Hamer-Banna,ethnologue
ham,Hamtai,ethnologue
hhu,Hanga Hundi,ethnologue
han,Hani,ethnologue
rag,Hano,ethnologue
hnn,Hanunoo,ethnologue
hrr,Harari,ethnologue
hrs,Harsusi,ethnologue
har,Haruai,ethnologue
ahs,Hassaniyya,ethnologue
hat,Hatam,ethnologue
hau,Hausa,ethnologue
hav hlp yav,Havasupai-Walapai-Yavapai,ethnologue
haw,Hawaiian,ethnologue
hwc,Hawai’i Creole English,ethnologue
hya,Haya,ethnologue
hdi,Hdi,ethnologue
hba heb,Hebrew,ethnologue
heh,Hehe,ethnologue
hei,Heiltsuk,ethnologue
hem,Hemba,ethnologue
her,Herero,ethnologue
hid,Hidatsa,ethnologue
hil,Hiligaynon,ethnologue
hin,Hindi,ethnologue
hnk,Hinukh,ethnologue
hix,Hixkaryána,ethnologue
lic,Hlai,ethnologue
hma,Hmar,ethnologue
hmo,Hmong Njua,ethnologue
ho,Ho,ethnologue
wnb,Ho-Chunk,ethnologue
hoa,Hoava,ethnologue
hol,Holoholo,ethnologue
hop,Hopi,ethnologue
hre,Hre,ethnologue
hmb,Huambisa,ethnologue
grj,Huarijío,ethnologue
htc,Huastec,ethnologue
hve,"Huave, San Mateo del Mar",ethnologue
klb,Huba,ethnologue
hui,Huichol,ethnologue
hmi htt,"Huitoto, Minica",ethnologue
hum,"Huitoto, Murui",ethnologue
hmu,"Huitoto, Nüpode",ethnologue
duk,Hun-Saare,ethnologue
hnd,Hunde,ethnologue
hun,Hungarian,ethnologue
hzb,Hunzib,ethnologue
hup,Hupa,ethnologue
hpd,Hupdë,ethnologue
iaa,Iaai,ethnologue
iat,Iatmul,ethnologue
ful,Iatê,ethnologue
iau,Iau,ethnologue
iba,Iban,ethnologue
ibn,Ibanag,ethnologue
ibi,Ibibio,ethnologue
ice,Icelandic,ethnologue
ics,Icelandic Sign Language,ethnologue
beg,Ida’an,ethnologue
ido,Idoma,ethnologue
idu,Idu-Mishmi,ethnologue
idn,Iduna,ethnologue
ifu,"Ifugao, Batad",ethnologue
igb,Igbo,ethnologue
ige,Igede,ethnologue
ign,Ignaciano,ethnologue
iha,Iha,ethnologue
ik,Ik,ethnologue
kpo,Ikposo,ethnologue
ila,Ila,ethnologue
ilo,Ilocano,ethnologue
imo,Imonda,ethnologue
akl,Inakeanon,ethnologue
ipi,Indian Sign Language,ethnologue
ind inj,Indonesian,ethnologue
cin,Ineseño,ethnologue
iga,Inga,ethnologue
izh,Ingrian,ethnologue
ing,Ingush,ethnologue
ins iql,"Inuktitut, Eastern Canadian",ethnologue
gre grw gso,"Inuktitut, Greenlandic",ethnologue
inr kgt,"Inuktitut, Western Canadian",ethnologue
inu,"Inupiatun, North Alaskan",ethnologue
oto,Iowa-Oto,ethnologue
iqu,Iquito,ethnologue
irq,Iraqw,ethnologue
irr,Irarutu,ethnologue
irs,Irish Sign Language,ethnologue
irx,Irántxe,ethnologue
isa,Isaka,ethnologue
ise,Isekiri,ethnologue
ish,Ishkashmi,ethnologue
isi,Isirawa,ethnologue
isn,Isnag,ethnologue
iso,Isoko,ethnologue
iss,Israeli Sign Language,ethnologue
ifi ita,Italian,ethnologue
lii,Italian Sign Language,ethnologue
itw,Itawit,ethnologue
ite,Itelmen,ethnologue
ito,Itonama,ethnologue
itz,Itza’,ethnologue
mie,Iu Mien,ethnologue
iva ivs,Ivatan,ethnologue
iwa,Iwaidja,ethnologue
iwm,Iwam,ethnologue
ixc,Ixcatec,ethnologue
ixi,Ixil,ethnologue
izi,Izii,ethnologue
ijo,Izon,ethnologue
jbt,Jabutí,ethnologue
jak,"Jakalteko, Eastern",ethnologue
